web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Amissah,SHU,GKP,0.0,3.9000000000000004,0.3,0,0,0.0,0.0,0.0,0.0,4303,1037,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-0.5,-0.5,2,1,0
Baldock,SHU,DEF,0.0,3.9000000000000004,6.8,0,4,7.5,41.0,28.6,6.0,3536,68105,0,0,0,4,0,0,0,0,0,0.0,1,0,3,250,0.0,0.12,0.12,7.4,25.0,25.0,Doubtful,0,0,-0.1,-0.1,2,0,0
Basham,SHU,DEF,0.7,4.0,1.0,1,7,10.2,60.6,27.3,14.0,1096,2944,0,0,0,6,0,0,0,0,0,0.0,1,0,2,282,0.12,0.07,0.19,6.41,0.0,0.0,Available,0,0,0.2,0.2,2,0,0
Bogle,SHU,DEF,2.3,4.5,0.1,1,14,11.2,50.8,31.6,30.0,604,316,0,1,0,6,1,0,0,0,0,0.0,0,0,3,227,0.22,0.13,0.35,5.05,100.0,100.0,Available,0,0,1.8,1.8,2,0,1
Brewster,SHU,FWD,0.3,4.9,0.0,1,1,2.1,4.0,10.8,6.0,182,123,0,0,0,0,0,0,0,0,0,2.0,0,0,0,11,0.0,0.02,0.02,0.47,100.0,75.0,Available,0,0,-0.2,-0.2,2,0,0
Coulibaly,SHU,MID,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,215,210,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,Available,0,0,-0.5,-0.5,2,0,0
A.Davies,SHU,GKP,0.0,4.0,0.2,0,0,0.0,0.0,0.0,0.0,399,472,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-0.5,-0.5,2,1,0
Egan,SHU,DEF,-1.0,4.4,0.1,0,1,13.1,91.2,1.4,38.0,20,505,0,0,0,17,0,0,0,0,0,0.0,2,0,6,482,0.17,0.0,0.17,14.85,50.0,100.0,Doubtful,0,0,-1.5,-0.8,2,0,0
Fleck,SHU,MID,0.0,4.9,0.0,0,0,0.0,0.0,0.0,0.0,23,22,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,75.0,75.0,Doubtful,0,0,-0.4,-0.4,2,0,0
Foderingham,SHU,GKP,2.0,4.5,0.3,3,17,29.3,292.0,0.0,0.0,857,817,2,0,0,19,0,41,0,0,0,0.0,1,0,7,630,0.0,0.0,0.0,17.43,0.0,0.0,Available,0,0,1.5,1.5,2,1,0
Jebbison,SHU,FWD,0.0,4.800000000000001,0.0,0,0,0.0,0.0,0.0,0.0,64,56,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,25.0,Doubtful,0,0,-0.1,-0.1,2,0,0
Lowe,SHU,DEF,0.0,4.4,0.0,0,3,4.2,29.4,11.0,2.0,48,118,0,0,0,2,0,0,0,0,0,0.0,0,0,2,124,0.0,0.01,0.01,2.62,0.0,0.0,Injured,0,0,0.0,0.0,2,0,0
McBurnie,SHU,FWD,0.3,5.4,0.0,2,7,19.1,46.0,47.1,98.0,286,168,0,0,1,7,0,0,0,0,0,0.0,0,1,3,289,0.65,0.58,1.23,7.32,100.0,100.0,Available,0,0,-0.2,-0.2,2,0,1
Ndiaye,SHU,FWD,0.0,5.5,0.0,0,0,0.0,0.0,0.0,0.0,0,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,2,0,0
Norrington-Davies,SHU,DEF,0.0,3.9000000000000004,0.1,0,0,0.0,0.0,0.0,0.0,1703,536,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,2,0,0
Norwood,SHU,MID,1.0,4.9,0.0,0,10,20.0,89.0,86.5,24.0,45,93,0,0,0,13,0,0,0,0,0,1.0,1,0,5,430,0.08,0.43,0.51,11.94,100.0,100.0,Available,0,0,0.5,0.5,2,0,0
Osborn,SHU,MID,0.0,4.800000000000001,0.0,0,4,3.4,20.6,9.0,5.0,16,35,0,0,0,3,0,0,0,0,0,0.0,1,0,3,192,0.12,0.1,0.22,3.63,0.0,0.0,Injured,0,0,0.0,0.0,2,0,0
